agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url
MADG,Madge Coachlines Limited,http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares
UZM,Uzabus,http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares
NCE,New Zealand Coach Services (Exempt),https://www.nzcoach.co.nz/,Pacific/Auckland,en,,https://www.nzcoach.co.nz/
NBM,NZ Bus,http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares
WCCL,Wellington Cable Car,http://www.wellingtoncablecar.co.nz,Pacific/Auckland,en,,http://www.wellingtoncablecar.co.nz/times-fares
VLYF,Valley Flyer,http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares
TZM,Tranzit Coachlines,http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares
MNM,Mana Coach Services Limited,http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares
RAIL,Metlink Rail,http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares
CLSC,Classic Coaches,http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares
NBE,NZ Bus (Exempt),http://www.metlink.org.nz,Pacific/Auckland,en,,https://www.metlink.org.nz/tickets-and-fares/airport
PTXL,Paraparaumu Taxis Limited,http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares
TZE,Tranzit Coachlines (Exempt),https://tranzit.co.nz/,Pacific/Auckland,en,,https://tranzit.co.nz/
RUNC,Runcimans Motors Limited,http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares
GOW,Go Wellington,http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares
MLO,Other,http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares
HRC,Horizons Regional Council,http://www.horizons.govt.nz,Pacific/Auckland,en,,http://www.horizons.govt.nz
MNE,Mana Coach Services Limited (Exempt),http://www.manacoach.co.nz,Pacific/Auckland,en,,http://www.manacoach.co.nz
NLDS,Newlands Coach Services,http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares
UZO,Uzabus (Horizons),http://www.horizons.govt.nz,Pacific/Auckland,en,,http://www.horizons.govt.nz
MANA,Mana Coach Services Limited,http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares
EBYW,East By West Ferry,http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares/ferry
UBU,Unallocated Bus Unit,http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares
